ID,Title,News Logo,Alttext,Titletext,News Url,Body,UserIDNumber,Date
7326,Recruiting in the Era of Gen. Z and AI: 3 Trends to Watch,recruiter-logo_5.jpg,Recruiting in the Era of Gen. Z and AI: 3 Trends to Watch,Recruiting in the Era of Gen. Z and AI: 3 Trends to Watch,https://www.recruiter.com/i/recruiting-in-the-era-of-gen-z-and-ai-3-trends-to-watch/,"<p><span style=""font-size: 0.923em;"">As the saying goes, change is the only constant. That saying has never been as true as it is in recruiting right now. </span><span style=""font-size: 0.923em;"">Five generations of employees now work together in offices where constant technological advancement is changing how work gets done and who — or what — is doing it...</span></p>
",11,7/12/2018 17:05
7296,Redeployment 101: A New Tool for Your Recruitment Strategy,recruiting-daily-advisor-logo.png,Redeployment 101: A New Tool for Your Recruitment Strategy,Redeployment 101: A New Tool for Your Recruitment Strategy,https://recruitingdailyadvisor.blr.com/2018/07/redeployment-101-new-tool-recruitment-strategy/,"<p>U.S. labor market trends, as reported by the Bureau of Labor Statistics (BLS), show that the employee quits-to-layoff ratio has significantly risen over the last 8 years, soaring higher than prerecession levels. This emerging trend in data goes to show that workers are confident in their ability to find another job...</p>
",11,7/9/2018 12:16
7286,RiseSmart elevates Joel Paul as General Manager India,people-matters-logo.png,RiseSmart elevates Joel Paul as General Manager India,RiseSmart elevates Joel Paul as General Manager India,https://www.peoplematters.in/news/appointments/risesmart-elevates-joel-paul-as-general-manager-india-18592?utm_source=peoplematters&utm_medium=interstitial&utm_campaign=learnings-of-the-day&utm_source=peoplematters&utm_medium=interstitial&utm_campaign=lea,"<p>Outplacement provider RiseSmart has elevated Joel Paul to General Manager of RiseSmart India. In his new role, Paul will oversee RiseSmart’s in-country commercial, operational, and financial results, reporting directly to Dan Davenport, President and General Manager, RiseSmart...</p>
",11,6/21/2018 13:03
7281,Former employees can damage your company's image. Here's what to do about it.,benefits-pro-logo.png,Former employees can damage your company's image. Here's what to do about it.,Former employees can damage your company's image. Here's what to do about it.,https://www.benefitspro.com/2018/06/21/former-employees-can-damage-your-companys-image-he/?slreturn=20180605120122,"<p>Employers stand to take a reputational hit if they don’t offer outplacement services to laid-off workers, according to RiseSmart’s white paper, “Insights on Job Seekers in Transition – What Every Employer Needs to Know.”</p>
",11,6/21/2018 13:02
7276,A New World of Employee Relationships,td-logo.png,A New World of Employee Relationships,A New World of Employee Relationships,https://info.risesmart.com/hubfs/Assets/A%20New%20World%20of%20Employee%20Relationships.pdf,"<p>The global economy is changing—and so are workers’ relationships with organizations. According to The Employee Relationship Economy, a recent whitepaper from RiseSmart, “The future of work will continue to break the rules and stretch the current boundaries that define how and where work is done.”</p>
",11,6/12/2018 13:02
7306,7 Practical Steps for Implementing a Redeployment Strategy,recruiting-daily-advisor-logo_0.png,7 Practical Steps for Implementing a Redeployment Strategy,7 Practical Steps for Implementing a Redeployment Strategy,https://recruitingdailyadvisor.blr.com/2018/07/7-practical-steps-implementing-redeployment-strategy/,"<p>When is redeployment a practical option for moving personnel and filling open jobs? In the case of a workforce-restricting event, such as a layoff, it’s almost a no-brainer. For most organizations, even though there are layoffs in one business unit, recruiting and hiring are often still happening in other business areas.</p>
",11,6/10/2018 13:02
7271,Successful Companies Will Be Those That Embrace the New Employee Economy,tlnt-logo.png,Successful Companies Will Be Those That Embrace the New Employee Economy,Successful Companies Will Be Those That Embrace the New Employee Economy,https://www.tlnt.com/successful-companies-will-be-those-that-embrace-the-new-employee-economy/,"<p>As the world of work evolves, the employee-employer relationship has also evolved and now looks much different than even a few years ago. The employee journey is fluid, and organizations must allow for the movement into, within, and out of their company with flexibility and ease...</p>
",11,6/7/2018 13:02
7266,RiseSmart Appoints Three Executives to Manage Expanding Global Operations,huntscanlonmedia-logo_2.jpg,RiseSmart Appoints Three Executives to Manage Expanding Global Operations,RiseSmart Appoints Three Executives to Manage Expanding Global Operations,https://huntscanlon.com/risesmart-appoints-three-executives-to-manage-expanding-global-operations/,"<p>RiseSmart, a provider of contemporary career transition services – a space which more search firms are looking at entering – has announced the appointment of three executives to manage international operations and support the organization’s rapid global expansion.</p>
",11,6/4/2018 13:02
7261,Employer Brand Creates Competitive Edge in Tough Hiring Climate,bloomberg-bna-logo_1.jpg,Employer Brand Creates Competitive Edge in Tough Hiring Climate,Employer Brand Creates Competitive Edge in Tough Hiring Climate,https://www.bna.com/employer-brand-creates-b57982093106/,"<p><span style=""font-family: ""Open Sans"", Arial, Helvetica, sans-serif; font-size: 17px;"">The importance of building a brand that will draw customers to a business has long been recognized, but organizations also need an enticing employer brand when competing for talent in a tight labor market. </span></p>
",11,5/31/2018 13:03
7251,How to Attract and Keep Talent from Jumping Ship,huntscanlonmedia-logo_1.jpg,How to Attract and Keep Talent from Jumping Ship,How to Attract and Keep Talent from Jumping Ship,https://huntscanlon.com/how-to-attract-and-keep-talent-from-jumping-ship/,"<p><span style=""font-family: sans-serif; font-size: 15px;"">Finding ways to attract the right, talented employees for their organizations remains a major concern and a challenge for the world’s human resources professionals...</span></p>
",11,5/31/2018 13:02
